Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage
GCA_900474225.2	Pyricularia oryzae	BTJP4_1_contigs	Contig	Canu 1.7	minION	PRJEB27137	SAMEA4708257	2018-12-06	THE SAINSBURY LABORATORY	44506711	59	4344896	4344896	97
GCA_900474375.2	Pyricularia oryzae	BTMP13_1_contigs	Contig	Canu 1.7	minION	PRJEB27137	SAMEA4708262	2018-12-06	THE SAINSBURY LABORATORY	43978086	16	6037509	6037509	97
GCA_900474435.2	Pyricularia oryzae	BTGP6F_contigs	Contig	Canu 1.7	minION	PRJEB27137	SAMEA4708264	2018-12-06	THE SAINSBURY LABORATORY	44234332	57	3705381	3705381	97
GCA_900474475.3	Pyricularia oryzae	CD156_genome_polished_no_mito	Contig	pilon 1.22	Oxford Nanopore	PRJEB27137	SAMEA4708261	2020-01-16	THE SAINSBURY LABORATORY	43939965	27	5531649	5531649	97
GCA_900474545.3	Pyricularia oryzae	BR32_genome_polished_no_mito	Contig	pilon 1.22	Oxford Nanopore	PRJEB27137	SAMEA4708260	2020-01-16	THE SAINSBURY LABORATORY	41805140	17	5096353	5096353	97
GCA_900474635.2	Pyricularia oryzae	BTGP1b_contigs	Contig	Canu 1.7	minION	PRJEB27137	SAMEA4708263	2018-12-06	THE SAINSBURY LABORATORY	44406101	74	2814025	2814025	97
GCA_900474655.3	Pyricularia oryzae	FR13_genome_polished_no_mito	Contig	pilon 1.22	Oxford Nanopore	PRJEB27137	SAMEA4708258	2020-01-16	THE SAINSBURY LABORATORY	46410415	31	5398440	5398440	97
GCA_905066965.2	Pyricularia oryzae	AG059_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473260	2020-12-16	THE SAINSBURY LABORATORY	47743121	37	5900770	5900770	138
GCA_905067005.2	Pyricularia oryzae	AG038_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473265	2020-12-16	THE SAINSBURY LABORATORY	46291169	19	5673907	5673907	117
GCA_905067015.2	Pyricularia oryzae	AG098_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473266	2020-12-16	THE SAINSBURY LABORATORY	47810826	33	6094221	6094221	97
GCA_905067025.2	Pyricularia oryzae	AG006_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illuminate	PRJEB40915	SAMEA7473262	2020-12-16	THE SAINSBURY LABORATORY	47005811	24	6618557	6618557	110
GCA_905067035.2	Pyricularia oryzae	AG039_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473258	2020-12-16	THE SAINSBURY LABORATORY	47495958	26	6249570	6249570	113
GCA_905067045.2	Pyricularia oryzae	AG002_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473264	2020-12-16	THE SAINSBURY LABORATORY	46086469	36	4555161	4555161	163
GCA_905067055.2	Pyricularia oryzae	AG032_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473263	2020-12-16	THE SAINSBURY LABORATORY	45916910	24	5961411	5961411	122
GCA_905067075.2	Pyricularia oryzae	PR003_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473261	2020-12-16	THE SAINSBURY LABORATORY	44615198	16	6063740	6063740	96
GCA_905067085.2	Pyricularia oryzae	SAndrea_contigs_polished	Contig	Canu,Pilon	Oxford Nanopore,Illumina	PRJEB40915	SAMEA7473259	2020-12-16	THE SAINSBURY LABORATORY	48509714	35	4122582	4122582	115
GCA_905081835.1	Pyricularia oryzae	Assembly of M.oryzae isolate 76_3 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751761	2020-11-22	UNIVERSITY OF EXETER	38352842	7453	16014	159298	54
GCA_905104965.1	Pyricularia oryzae	Assembly of M.oryzae isolate BN0293 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753516	2020-11-22	UNIVERSITY OF EXETER	40010648	12548	11063	124287	47
GCA_905105065.1	Pyricularia oryzae	Assembly of M.oryzae isolate 82_0835 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751762	2020-11-22	UNIVERSITY OF EXETER	40074354	9082	17211	136309	76
GCA_905105085.1	Pyricularia oryzae	Assembly of M.oryzae isolate BF32 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753514	2020-11-22	UNIVERSITY OF EXETER	40189893	9960	15625	120312	59
GCA_905105095.1	Pyricularia oryzae	Assembly of M.oryzae isolate BF48 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753515	2020-11-22	UNIVERSITY OF EXETER	40015456	9653	13905	144015	53
GCA_905105105.1	Pyricularia oryzae	Assembly of M.oryzae isolate BF17 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753513	2020-11-22	UNIVERSITY OF EXETER	39725824	10602	11978	138447	46
GCA_905105115.1	Pyricularia oryzae	Assembly of M.oryzae isolate 90_4_1 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751764	2020-11-22	UNIVERSITY OF EXETER	39527138	8840	17550	151648	68
GCA_905105125.1	Pyricularia oryzae	Assembly of M.oryzae isolate BF5 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753512	2020-11-22	UNIVERSITY OF EXETER	40969151	10703	16717	122962	58
GCA_905109085.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTGP1_b genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190809	2020-11-22	UNIVERSITY OF EXETER	43645146	2855	44845	107077	143
GCA_905109095.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_12 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190818	2020-11-22	UNIVERSITY OF EXETER	43632231	2710	49946	110022	203
GCA_905109105.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_11 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190817	2020-11-22	UNIVERSITY OF EXETER	43630244	2934	44738	91549	126
GCA_905109115.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTBaB1 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190806	2020-11-22	UNIVERSITY OF EXETER	43399635	2347	40471	101720	93
GCA_905109125.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTBa_2 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190807	2020-11-22	UNIVERSITY OF EXETER	43755255	3241	39417	91759	120
GCA_905109135.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTAR_A1 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104365380	2020-11-22	UNIVERSITY OF EXETER	38140674	3499	62694	93389	140
GCA_905109245.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_16 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190819	2020-11-22	UNIVERSITY OF EXETER	43632753	2709	51283	95064	173
GCA_905109485.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_18 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190820	2020-11-22	UNIVERSITY OF EXETER	43394295	2282	43126	98888	114
GCA_905109745.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_6 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190816	2020-11-22	UNIVERSITY OF EXETER	43645672	2895	44650	90777	131
GCA_905109755.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP_4_2 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104365382	2020-11-22	UNIVERSITY OF EXETER	43194179	1582	63472	134160	103
GCA_905109765.1	Pyricularia oryzae	Assembly of M.oryzae isolate Glhn3 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751767	2020-11-22	UNIVERSITY OF EXETER	39392990	8619	14935	134271	52
GCA_905109775.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTTrp_6 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190824	2020-11-22	UNIVERSITY OF EXETER	41501021	3350	63644	109057	247
GCA_905109785.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_3 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190814	2020-11-22	UNIVERSITY OF EXETER	43673126	2910	47026	92411	168
GCA_905109805.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE019 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753509	2020-11-22	UNIVERSITY OF EXETER	39371043	6043	19383	176600	55
GCA_905109815.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTMP_S13_1 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190821	2020-11-22	UNIVERSITY OF EXETER	43268406	2281	40447	99038	100
GCA_905109825.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTGP_6_g genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190811	2020-11-22	UNIVERSITY OF EXETER	43643196	2823	42184	98580	167
GCA_905109835.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE017 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753508	2020-12-16	UNIVERSITY OF EXETER	41104100	12670	16706	141652	79
GCA_905109845.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP_4_15 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104365381	2020-11-22	UNIVERSITY OF EXETER	43574924	2370	70979	153255	150
GCA_905109865.1	Pyricularia oryzae	Assembly of M.oryzae isolate JUM1 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753517	2020-11-22	UNIVERSITY OF EXETER	40503273	10988	11762	127476	47
GCA_905109875.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE016 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753507	2020-11-22	UNIVERSITY OF EXETER	40270040	7884	18301	156802	90
GCA_905109885.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE021 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753510	2020-11-22	UNIVERSITY OF EXETER	40076482	7396	18662	152792	93
GCA_905109895.1	Pyricularia oryzae	Assembly of M.oryzae isolate Glhn4 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751768	2020-11-22	UNIVERSITY OF EXETER	39521489	7928	16708	134201	59
GCA_905109905.1	Pyricularia oryzae	Assembly of M.oryzae isolate EG308 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753505	2020-11-22	UNIVERSITY OF EXETER	41564590	8824	16728	149180	82
GCA_905109915.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP_4_9 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104365383	2020-11-22	UNIVERSITY OF EXETER	43511044	2174	74327	140435	216
GCA_905109925.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTTrp_5 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190823	2020-11-22	UNIVERSITY OF EXETER	46707658	2347	56895	114140	27
GCA_905114085.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE029 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753511	2020-12-16	UNIVERSITY OF EXETER	41039609	10863	18122	154544	94
GCA_905114095.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE041 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753518	2020-11-22	UNIVERSITY OF EXETER	39008374	8174	16033	146883	61
GCA_905114105.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE210 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753519	2020-12-15	UNIVERSITY OF EXETER	38854174	57392	921	15865	29
GCA_905114645.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE255 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753520	2020-12-15	UNIVERSITY OF EXETER	39832145	16341	6043	119152	40
GCA_905114655.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE332 genome	Contig	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753528	2020-12-15	UNIVERSITY OF EXETER	41002536	6268	35062	35062	171
GCA_905114665.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE415 genome	Contig	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753529	2020-12-15	UNIVERSITY OF EXETER	39451500	3668	33912	33912	78
GCA_905114675.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE443 genome	Contig	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753530	2020-12-15	UNIVERSITY OF EXETER	40885158	6077	36419	36419	204
GCA_905114685.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE491 genome	Contig	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753532	2020-12-15	UNIVERSITY OF EXETER	40043457	3198	34509	34509	122
GCA_905114695.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE473 genome	Contig	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753531	2020-12-15	UNIVERSITY OF EXETER	40616342	5858	37274	37274	200
GCA_905114705.1	Pyricularia oryzae	Assembly of M.oryzae isolate NG0104 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753521	2020-12-15	UNIVERSITY OF EXETER	38946046	9088	14210	128841	53
GCA_905114715.1	Pyricularia oryzae	Assembly of M.oryzae isolate NG0110 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753522	2020-12-15	UNIVERSITY OF EXETER	39600383	10939	11401	115527	50
GCA_905114725.1	Pyricularia oryzae	Assembly of M.oryzae isolate NG0135 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753523	2020-12-15	UNIVERSITY OF EXETER	39852204	12923	8558	109842	41
GCA_905114735.1	Pyricularia oryzae	Assembly of M.oryzae isolate NG0153 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753524	2020-11-22	UNIVERSITY OF EXETER	39800748	11216	11137	130820	48
GCA_905114745.1	Pyricularia oryzae	Assembly of M.oryzae isolate TH3 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751774	2020-12-15	UNIVERSITY OF EXETER	37299722	30734	4935	22628	36
GCA_905114755.1	Pyricularia oryzae	Assembly of M.oryzae isolate TG004 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753525	2020-12-15	UNIVERSITY OF EXETER	39965636	16173	6146	125683	48
GCA_905114765.1	Pyricularia oryzae	Assembly of M.oryzae isolate TZ090 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753526	2020-12-15	UNIVERSITY OF EXETER	38952040	8008	15994	127695	65
GCA_905114775.1	Pyricularia oryzae	Assembly of M.oryzae isolate UG08 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753527	2020-12-15	UNIVERSITY OF EXETER	39183782	9064	16892	122477	82
GCA_905114785.1	Pyricularia oryzae	Assembly of M.oryzae isolate VO104 genome	Scaffold	spades	Illumina HiSeq 2500	PRJEB27387	SAMEA4751775	2020-12-15	UNIVERSITY OF EXETER	39866628	9570	14126	126352	53
GCA_905114795.1	Pyricularia oryzae	Assembly of M.oryzae isolate VO113 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751777	2020-12-15	UNIVERSITY OF EXETER	39758505	7928	17214	151818	62
GCA_905114805.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTGP_6_e genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190808	2020-12-16	UNIVERSITY OF EXETER	43622001	2740	41517	115705	132
GCA_905114815.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTGP_6_f genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190810	2020-11-22	UNIVERSITY OF EXETER	43418197	2299	40470	104430	107
GCA_905114825.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTGP_6_h genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190812	2020-11-22	UNIVERSITY OF EXETER	43657328	2756	46178	105122	181
GCA_905125175.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP_4_1 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190813	2020-12-16	UNIVERSITY OF EXETER	43392441	2269	41442	109624	116
GCA_905125185.1	Pyricularia oryzae	Assembly of M.oryzae isolate KE002 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB27419	SAMEA4753506	2020-12-15	UNIVERSITY OF EXETER	40252061	8196	17434	147435	98
GCA_905186785.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTJP4_5 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190815	2021-02-02	UNIVERSITY OF EXETER	43437982	2395	41348	90380	96
GCA_905186795.1	Pyricularia oryzae	Assembly of M.oryzae isolate BTMP_S_13_2 genome	Scaffold	Spades	Illumina HiSeq 2500	PRJEB22035	SAMEA104190822	2021-02-02	UNIVERSITY OF EXETER	43677391	2788	51968	108438	268
GCA_905232145.1	Pyricularia oryzae	Assembly of M.oryzae isolate VO108 genome	Scaffold	Velvet	Illumina HiSeq 2500	PRJEB27387	SAMEA4751776	2021-02-20	UNIVERSITY OF EXETER	39904137	8157	16810	153228	58
GCA_911175055.1	Pyricularia oryzae	N06047_contigs	Contig	Canu	Oxford Nanopore	PRJEB27137	SAMEA9124609	2021-07-19	THE SAINSBURY LABORATORY	41159917	115	880253	880253	150
GCA_944606235.1	Pyricularia oryzae	O23_contigs_polished	Contig	NECAT,medaka,Hypo	Oxford Nanopore,Illumina	PRJEB53625	SAMEA110144965	2022-07-15	iwate biotechnology research center	43162440	11	6457810	6457810	122
GCA_944606705.1	Pyricularia oryzae	d44a_contigs_polished	Contig	NECAT,medaka,Hypo	Oxford Nanopore,Illumina	PRJEB53625	SAMEA110145009	2022-07-15	iwate biotechnology research center	43626931	11	6588090	6588090	93
GCA_944612285.1	Pyricularia oryzae	TH3o_contigs_polished	Contig	MECAT,Hypo	PacBio,Illumina	PRJEB53625	SAMEA110144966	2022-07-15	iwate biotechnology research center	41519998	129	865826	865826	44
GCA_944989255.1	Pyricularia oryzae	GE12B_contigs_polished	Contig	Flye,Medaka,Pilon	Oxford Nanopore,Illumina	PRJEB53658	SAMEA110153376	2022-07-13	The John Innes Centre	44312841	20	5068283	5068283	109
GCA_944989335.1	Pyricularia oryzae	GA10A2_contigs_polished	Contig	Flye,Medaka,Pilon	Oxford Nanopore,Illumina	PRJEB53658	SAMEA110153377	2022-07-13	The John Innes Centre	44788744	29	6975948	6975948	123
GCA_946468025.1	Pyricularia oryzae	MoT PS-2	Contig	Canu	Oxford Nanopore	PRJEB55233	SAMEA110691667	2022-09-12	John Innes Centre	42866477	21	6394504	6394504	153
GCA_963556445.1	Pyricularia oryzae	Br62_assembly	Contig	Flye (v2.9-b17680), Medaka (v1.7.2), Pilon (v1.23)	PromethION,Illumina HiSeq 2500	PRJEB66723	SAMEA114466569	2024-02-24	The John Innes Centre	43945100	10	6027403	6027403	19
GCA_000376765.1	Pyricularia oryzae 4091-5-8	Mo4091-5-8_1.0	Contig	Velvet v. 1.2.03	Illumina GAIIx	PRJNA184380	SAMN02981493	2013-04-22	Seoul National University	37519115	8886	8761	8761	68
GCF_000002495.2	Pyricularia oryzae 70-15	MG8	Chromosome		Sanger ABI	PRJNA13840	SAMN02953596	2011-10-14	International Rice Blast Genome Consortium	40979121	216	823590	6606598	
GCA_000002495.2	Pyricularia oryzae 70-15	MG8	Chromosome		Sanger ABI	PRJNA13840	SAMN02953596	2011-10-14	International Rice Blast Genome Consortium	40979121	216	823590	6606598	
GCA_977071145.1	Pyricularia oryzae 70-15	KE493_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103423	2025-11-29	The John Innes Centre	40496828	5506	167649	167649	70
GCA_977071155.1	Pyricularia oryzae 70-15	TN0050_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103415	2025-11-29	The John Innes Centre	39988342	5235	155803	155803	70
GCA_977071165.1	Pyricularia oryzae 70-15	TG0016_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103414	2025-11-29	The John Innes Centre	40572079	5405	176617	176617	70
GCA_977071185.1	Pyricularia oryzae 70-15	TN0019_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103413	2025-11-29	The John Innes Centre	40576945	5803	167662	167662	70
GCA_977071195.1	Pyricularia oryzae 70-15	TN0096_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103420	2025-11-29	The John Innes Centre	40611171	5584	176621	176621	70
GCA_977071205.1	Pyricularia oryzae 70-15	NG0191_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103421	2025-11-29	The John Innes Centre	40432347	5998	157875	157875	70
GCA_977071215.1	Pyricularia oryzae 70-15	TN0068_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103416	2025-11-29	The John Innes Centre	40585601	5708	167657	167657	70
GCA_977071225.1	Pyricularia oryzae 70-15	TN0078_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103419	2025-11-29	The John Innes Centre	40010630	5385	160468	160468	70
GCA_977071235.1	Pyricularia oryzae 70-15	BN0040_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103424	2025-11-29	The John Innes Centre	40511566	5823	174103	174103	70
GCA_977071255.1	Pyricularia oryzae 70-15	ML0066_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103427	2025-11-29	The John Innes Centre	40862423	7207	158515	158515	70
GCA_977071265.1	Pyricularia oryzae 70-15	TN0070_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103417	2025-11-29	The John Innes Centre	40026905	5456	159271	159271	70
GCA_977071275.1	Pyricularia oryzae 70-15	BN0192_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103425	2025-11-29	The John Innes Centre	41716912	6928	153494	153494	70
GCA_977071285.1	Pyricularia oryzae 70-15	TN0073_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103418	2025-11-29	The John Innes Centre	40699416	5688	164199	164199	70
GCA_977071295.1	Pyricularia oryzae 70-15	ML0063_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103426	2025-11-29	The John Innes Centre	40946671	7345	152144	152144	70
GCA_977071305.1	Pyricularia oryzae 70-15	KE489_assembly	Contig	SPAdes v3.8.1	ILLUMINA	PRJEB96956	SAMEA120103422	2025-11-29	The John Innes Centre	40343318	5284	164125	164125	70
GCA_000832285.1	Pyricularia oryzae B157	M_oryzae_b157_v1	Contig	Velvet v. 1.2.07	Illumina HiSeq	PRJNA209290	SAMN03329169	2015-02-04	Centre for Cellular and Molecular Plateforms	37757427	5735	15455	15455	60
GCA_000498135.1	Pyricularia oryzae FJ81278	FJ81278_genome_assembly	Scaffold	Velvet v. 2012	Illumina GAII	PRJNA209870	SAMN02215332	2013-10-21	The Ohio State University, Department of Plant Pathology	37873929	3783	115753	151964	34
GCA_000475075.1	Pyricularia oryzae HN19311	HN19311_genome_assembly	Scaffold	Velvet v. 2012	Illumina GAII	PRJNA209870	SAMN02216973	2013-10-21	The Ohio State University, Department of Plant Pathology	36657487	3014	147471	147471	5.7
GCA_000376685.2	Pyricularia oryzae KJ201	MoKJ201_3	Scaffold	SOAPdenovo v. 1.05	Illumina	PRJNA179498	SAMN02730190	2014-04-21	Seoul National University	45096509	3188	25520	2318557	199
GCA_000969745.1	Pyricularia oryzae MG01	M_ oryzae_MG01_v1	Contig	Velvet v. 1.2.07	Illumina	PRJNA227170	SAMN02397294	2015-04-06	Centre for Cellular and Molecular Plateforms	38999079	7722	13722	13722	60
GCA_003990535.1	Pyricularia oryzae Mo-nwi-31	Moryzae-RP-2421.1.0	Contig	CLC Genomics Workbench v. 6.5.1	Illumina HiSeq	PRJNA232299	SAMN07817530	2019-01-02	National Research Centre on Plant Biotechnology	37300819	3416	39892	39892	107
GCA_002021675.1	Pyricularia oryzae Mo-nwi-55	Moryzae-RML-29.1.0	Contig	CLC Genomic Workbench v. 6.5.1	454	PRJNA232298	SAMN02688647	2017-03-06	National Research Centre on Plant Biotechnology	37764501	7002	10409	10409	13
GCA_000292605.2	Pyricularia oryzae P131	PoP131	Complete Genome	Canu v. 2; Juicer v. 1.6	Illumina HiSeq; PacBio; Hi-C	PRJNA82693	SAMN02981399	2023-07-25	China Agricultural University	43237743	7	7048921	7048921	300
GCA_000292585.1	Pyricularia oryzae Y34	MoY34_2.0	Scaffold	Newbler v. 1.1.02.15	Sanger; 454 GS FLX Titanium	PRJNA82691	SAMN02981398	2013-01-04	China Agricultural University	38872417	2114	52974	106863	21
